"Season","Date","Rot","VH","Team","1st","2nd","3rd","4th","Final","Open","Close","ML","2H","dateID","teamID"
200708,1102,724,"H","Phoenix",20,30,17,31,31,10,8,-435,9,"1102",24
200708,1102,725,"V","GoldenState",27,34,29,24,24,209,211,105,104.5,"1102",10
200708,1102,726,"H","LAClippers",35,26,31,28,28,2,1.5,-125,1.5,"1102",13
200708,1103,501,"V","NewJersey",17,21,29,26,26,2.5,3,-150,1.5,"1103",18
200708,1103,502,"H","Philadelphia",19,15,23,31,31,186.5,186.5,130,94.5,"1103",23
200708,1103,503,"V","Orlando",19,31,14,30,30,199,197.5,110,100.5,"1103",22
200708,1103,504,"H","Washington",18,24,25,15,15,2,1,-130,2.5,"1103",30
200708,1103,505,"V","Indiana",40,32,22,27,27,211.5,211.5,180,107,"1103",12
200708,1103,506,"H","Memphis",31,30,26,24,24,4.5,5.5,-220,5.5,"1103",15
200708,1103,507,"V","Chicago",19,16,13,24,24,2.5,4,-175,1.5,"1103",5
200708,1103,508,"H","Milwaukee",20,12,24,22,22,193.5,193,155,95,"1103",17
200708,1103,509,"V","Portland",12,19,15,34,34,203.5,203,700,,"1103",25
200708,1103,510,"H","Houston",25,21,16,27,27,12,11.5,-1000,100.5,"1103",11
200708,1103,511,"V","Sacramento",25,31,27,19,19,189.5,189,1500,,"1103",26
200708,1103,512,"H","Dallas",37,36,28,22,22,14.5,15.5,-3000,93,"1103",7
200708,1103,513,"V","GoldenState",28,18,35,29,29,212.5,215.5,425,,"1103",10
200708,1103,514,"H","Utah",29,36,29,39,39,8.5,9.5,-550,105.5,"1103",29
200708,1104,701,"V","Boston",23,15,28,12,12,192,194,105,95.5,"1104",2
200708,1104,702,"H","Toronto",14,17,24,23,23,2,1.5,-125,2.5,"1104",28
200708,1104,703,"V","Seattle",21,31,24,25,25,209.5,208,250,101.5,"1104",21
200708,1104,704,"H","LAClippers",25,27,26,37,37,6,6.5,-300,4.5,"1104",13
200708,1104,705,"V","Minnesota",28,22,23,20,20,192.5,193,355,96.5,"1104",18
200708,1104,706,"H","NewYork",21,33,21,22,22,10,9,-425,4,"1104",20
200708,1104,707,"V","Charlotte",27,28,20,15,15,186,186.5,140,93.5,"1104",4
200708,1104,708,"H","Miami",27,21,15,25,25,3,3.5,-160,3.5,"1104",16
200708,1104,709,"V","Atlanta",19,29,21,22,22,188.5,191,290,97,"1104",1
200708,1104,710,"H","Detroit",24,21,15,32,32,8.5,8,-350,6.5,"1104",9
200708,1104,711,"V","NewOrleans",14,34,25,20,20,216,214.5,185,104.5,"1104",19
200708,1104,712,"H","Denver",21,28,20,19,19,6.5,5,-215,3,"1104",8
200708,1104,713,"V","Cleveland",22,23,19,28,28,208.5,205,290,99.5,"1104",6
200708,1104,714,"H","Phoenix",21,17,31,34,34,8,7.5,-350,5.5,"1104",24
200708,1104,715,"V","Utah",21,30,31,27,27,2,205.5,-105,106,"1104",29
200708,1104,716,"H","LALakers",25,21,35,38,38,202,1,-115,2,"1104",14
200708,1105,501,"V","Houston",29,22,24,23,23,190,189.5,170,95.5,"1105",11
200708,1105,502,"H","Dallas",24,26,27,30,30,5,4.5,-200,3,"1105",7
200708,1106,701,"V","Phoenix",29,30,29,27,27,4,4,-195,101,"1106",24
200708,1106,702,"H","Charlotte",21,16,24,22,22,210,207,165,3.5,"1106",4
200708,1106,703,"V","Atlanta",19,22,16,25,25,190.5,188.5,160,95,"1106",1
200708,1106,704,"H","NewJersey",22,23,24,18,18,4.5,4,-190,1,"1106",18
200708,1106,705,"V","Denver",37,29,26,20,20,2.5,3,-160,105,"1106",8
200708,1106,706,"H","NewYork",32,28,22,37,37,213,211,140,,"1106",20
200708,1106,707,"V","Orlando",26,30,32,23,23,7,6.5,-300,2,"1106",22
200708,1106,708,"H","Minnesota",22,28,24,29,29,190,186.5,250,93.5,"1106",18
200708,1106,709,"V","Toronto",23,25,16,21,21,191,3,-160,5,"1106",28
200708,1106,710,"H","Milwaukee",37,26,25,24,24,,190,140,95,"1106",17
200708,1106,711,"V","SanAntonio",19,13,24,25,25,185,2,-135,4,"1106",27
200708,1106,712,"H","Houston",18,27,19,25,25,,183.5,115,91.5,"1106",11
200708,1106,713,"V","LAClippers",26,31,18,22,22,193,193,335,97.5,"1106",13
200708,1106,714,"H","Chicago",26,26,22,17,17,7,8.5,-405,8,"1106",5
200708,1106,715,"V","Seattle",25,36,17,20,20,204,208,110,101.5,"1106",21
200708,1106,716,"H","Sacramento",26,22,24,32,32,3,2,-130,4.5,"1106",26
200708,1106,717,"V","Cleveland",29,25,26,28,28,1,209.5,115,105,"1106",6
200708,1106,718,"H","GoldenState",23,31,27,23,23,209,2,-135,1.5,"1106",10
200708,1106,719,"V","NewOrleans",32,25,32,29,29,207,205.5,135,104,"1106",19
200708,1106,720,"H","LALakers",22,33,25,24,24,3.5,3,-155,3,"1106",14
200708,1107,501,"V","Orlando",31,21,26,27,27,186.5,191.5,170,95.5,"1107",22
200708,1107,502,"H","Toronto",23,24,27,22,22,3,4,-200,3.5,"1107",28
200708,1107,503,"V","Phoenix",27,20,29,20,20,5.5,5,-230,5,"1107",24
200708,1107,504,"H","Atlanta",32,23,25,25,25,208.5,207,190,103.5,"1107",1
200708,1107,505,"V","LAClippers",24,31,32,17,17,200.5,207.5,240,102,"1107",13
200708,1107,506,"H","Indiana",25,33,14,17,17,5,6.5,-290,3.5,"1107",12
200708,1107,507,"V","Charlotte",14,18,15,16,16,190,189,165,3,"1107",4
200708,1107,508,"H","Philadelphia",23,26,21,24,24,3.5,4,-195,93.5,"1107",23
200708,1107,509,"V","Denver",22,16,28,27,27,203,202.5,245,5.5,"1107",8
200708,1107,510,"H","Boston",38,39,26,16,16,5.5,6.5,-295,99.5,"1107",2
200708,1107,511,"V","Miami",21,17,20,20,20,185.5,180.5,800,88.5,"1107",16
200708,1107,512,"H","SanAntonio",23,16,26,23,23,10.5,11.5,-1200,7.5,"1107",27
200708,1107,513,"V","Cleveland",26,22,19,34,34,196,194.5,400,98,"1107",6
200708,1107,514,"H","Utah",29,23,20,31,31,8,9,-500,4.5,"1107",29
200708,1107,515,"V","Memphis",27,22,38,18,18,219.5,218.5,-110,2,"1107",15
200708,1107,516,"H","Seattle",24,33,24,17,17,1.5,,-110,107,"1107",21
200708,1107,517,"V","NewOrleans",23,26,18,23,23,2.5,2.5,-145,100.5,"1107",19
200708,1107,518,"H","Portland",26,18,32,17,17,202,201.5,125,,"1107",25
200708,1108,701,"V","Washington",27,14,17,27,27,194,190,235,98,"1108",30
200708,1108,702,"H","NewJersey",15,21,21,30,30,6,6,-275,6,"1108",18
200708,1108,703,"V","Detroit",23,22,30,18,18,184,182,100,1.5,"1108",9
200708,1108,704,"H","Chicago",29,22,27,19,19,1.5,1,-120,90,"1108",5
200708,1108,705,"V","Dallas",27,30,34,29,29,7.5,7.5,-325,6.5,"1108",7
200708,1108,706,"H","GoldenState",27,34,25,29,29,213.5,216,275,108.5,"1108",10
200708,1109,501,"V","Toronto",24,23,24,34,34,188,2,-130,94.5,"1109",28
200708,1109,502,"H","Philadelphia",19,20,29,35,35,1,187.5,110,1.5,"1109",23
200708,1109,503,"V","Indiana",27,16,30,14,14,194.5,195,105,97,"1109",12
200708,1109,504,"H","Charlotte",24,16,25,31,31,3,1.5,-125,1.5,"1109",4
200708,1109,505,"V","Atlanta",19,22,20,22,22,194,193,360,97.5,"1109",1
200708,1109,506,"H","Boston",24,31,19,32,32,7,8.5,-430,,"1109",2
200708,1109,507,"V","Orlando",28,20,29,35,35,1,201.5,-105,99.5,"1109",22
200708,1109,508,"H","NewYork",28,21,24,29,29,198.5,1,-115,,"1109",20
200708,1109,509,"V","Phoenix",27,28,24,27,27,8.5,8,-375,7,"1109",24
200708,1109,510,"H","Miami",37,23,24,17,17,201,195.5,315,97.5,"1109",16
200708,1109,511,"V","LAClippers",21,21,14,23,23,192,191.5,315,94,"1109",13
200708,1109,512,"H","Detroit",31,28,24,20,20,7.5,8,-375,,"1109",9
200708,1109,513,"V","SanAntonio",23,29,29,16,16,3.5,3.5,-165,94,"1109",27
200708,1109,514,"H","NewOrleans",24,21,18,22,22,188,186,145,1,"1109",19
200708,1109,515,"V","Denver",28,32,33,25,25,3,2,-130,106.5,"1109",8
200708,1109,516,"H","Washington",26,25,11,30,30,210.5,209.5,110,1.5,"1109",30
200708,1109,517,"V","Milwaukee",25,16,29,18,18,191,188.5,395,94,"1109",17
200708,1109,518,"H","Houston",24,26,28,26,26,9.5,9,-475,2.5,"1109",11
200708,1109,519,"V","Memphis",26,35,15,22,22,208,208.5,120,104.5,"1109",15
200708,1109,520,"H","Portland",23,26,25,36,36,1,2.5,-140,4,"1109",25
200708,1109,521,"V","Utah",28,24,26,25,25,7,6.5,-290,1.5,"1109",29
200708,1109,522,"H","Seattle",25,21,29,26,26,210.5,211.5,240,106,"1109",21
200708,1109,523,"V","Minnesota",28,22,19,24,24,201,204,600,103,"1109",18
200708,1109,524,"H","LALakers",30,26,27,24,24,11,11,-800,5.5,"1109",14
200708,1109,525,"V","Cleveland",23,25,21,24,24,6.5,5.5,-245,3,"1109",6
200708,1109,526,"H","Sacramento",21,27,22,21,21,194.5,192.5,205,97,"1109",26
200708,1110,701,"V","Denver",31,25,26,31,31,210.5,1.5,-125,4,"1110",8
200708,1110,702,"H","Indiana",46,28,14,18,18,,212,105,103,"1110",12
200708,1110,703,"V","Phoenix",34,25,26,21,21,205.5,1.5,-125,102.5,"1110",24
200708,1110,704,"H","Orlando",27,16,23,30,30,,209,105,4,"1110",22
200708,1110,705,"V","Boston",26,33,28,25,25,186,3,-150,95,"1110",2
200708,1110,706,"H","NewJersey",27,25,14,35,35,2,182.5,130,,"1110",18
200708,1110,707,"V","Toronto",17,24,36,24,24,191,189.5,220,93,"1110",28
200708,1110,708,"H","Chicago",13,17,13,28,28,5.5,6.5,-260,6,"1110",5
200708,1110,709,"V","Memphis",30,19,22,23,23,219,216,475,107.5,"1110",15
200708,1110,710,"H","Utah",36,28,25,29,29,11,10,-600,2,"1110",29
200708,1110,711,"V","Minnesota",19,20,34,20,20,193.5,193,170,93.5,"1110",18
200708,1110,712,"H","Sacramento",16,26,31,27,27,4.5,4.5,-200,2,"1110",26
200708,1110,713,"V","Dallas",22,18,17,25,25,8,7.5,-350,8,"1110",7
200708,1110,714,"H","Portland",28,21,21,21,21,202.5,201.5,290,100,"1110",25
200708,1111,501,"V","Washington",26,25,27,23,23,195.5,192.5,190,100,"1111",30
200708,1111,502,"H","Atlanta",23,17,25,25,25,5,5.5,-230,5,"1111",1
200708,1111,503,"V","Houston",14,21,25,25,25,5.5,6.5,-275,6,"1111",11
200708,1111,504,"H","Charlotte",15,25,25,17,17,187.5,186,235,94.5,"1111",4
200708,1111,505,"V","NewOrleans",23,28,26,16,16,2,3,-150,95,"1111",19
200708,1111,506,"H","Philadelphia",24,13,17,18,18,192.5,190.5,130,2.5,"1111",23
200708,1111,507,"V","Miami",25,12,15,23,23,196,192,130,93.5,"1111",16
200708,1111,508,"H","NewYork",20,19,19,14,14,4,3,-150,1,"1111",20
200708,1111,509,"V","Milwaukee",24,14,23,27,27,185,186.5,550,1.5,"1111",17
200708,1111,510,"H","SanAntonio",36,29,26,22,22,10.5,10.5,-700,93.5,"1111",27
200708,1111,511,"V","Detroit",35,29,17,26,26,6.5,6.5,-275,96,"1111",9
200708,1111,512,"H","Seattle",20,32,21,30,30,199,196,235,1,"1111",21
200708,1111,513,"V","Cleveland",23,27,22,31,31,196,1,-110,95,"1111",6
200708,1111,514,"H","LAClippers",19,25,31,20,20,,192,-110,1.5,"1111",13
200708,1112,701,"V","NewOrleans",26,23,16,19,19,189,2,-130,92.5,"1112",19
200708,1112,702,"H","NewJersey",21,16,30,15,15,2,184.5,110,3,"1112",18
200708,1112,703,"V","Cleveland",18,25,25,32,32,205.5,208,285,,"1112",6
200708,1112,704,"H","Denver",21,37,30,34,34,6.5,7.5,-335,101.5,"1112",8
200708,1112,705,"V","Sacramento",18,24,34,17,17,204.5,206,1050,101,"1112",26
200708,1112,706,"H","Utah",35,30,24,28,28,13.5,14,-1700,1.5,"1112",29
200708,1113,501,"V","Seattle",14,22,20,20,20,209.5,209,525,99.5,"1113",21
200708,1113,502,"H","Orlando",28,21,36,18,18,10.5,10.5,-650,3,"1113",22
200708,1113,503,"V","Miami",12,23,12,29,29,181,178,105,,"1113",16
200708,1113,504,"H","Charlotte",17,23,31,20,20,2,1.5,-125,88.5,"1113",4
200708,1113,505,"V","Boston",26,26,24,25,25,6,7,-300,1.5,"1113",2
200708,1113,506,"H","Indiana",24,19,22,21,21,197.5,198,250,97.5,"1113",12
200708,1113,507,"V","Houston",28,25,26,20,20,6.5,6.5,-270,2.5,"1113",11
200708,1113,508,"H","Memphis",25,24,31,25,25,198.5,201.5,230,101,"1113",15
200708,1113,509,"V","Philadelphia",22,28,18,16,16,190.5,192.5,600,96.5,"1113",23
200708,1113,510,"H","Dallas",19,24,33,23,23,12,11,-800,10.5,"1113",7
200708,1113,511,"V","LALakers",15,23,24,30,30,198.5,199,305,1,"1113",14
200708,1113,512,"H","SanAntonio",21,33,25,28,28,8.5,8,-365,98,"1113",27
200708,1113,513,"V","NewYork",29,22,21,30,30,207,210.5,900,103,"1113",20
200708,1113,514,"H","Phoenix",34,29,24,26,26,11,13,-1400,4.5,"1113",24
200708,1113,515,"V","Detroit",27,26,21,20,20,4.5,5,-230,2.5,"1113",9
200708,1113,516,"H","Portland",22,28,24,28,28,189,190,190,94.5,"1113",25
200708,1114,701,"V","Indiana",15,26,25,24,24,201.5,200.5,200,2,"1114",12
200708,1114,702,"H","Washington",28,28,27,20,20,6,5.5,-240,99,"1114",30
200708,1114,703,"V","Orlando",28,27,26,27,27,194.5,190.5,130,96.5,"1114",22
200708,1114,704,"H","Cleveland",29,27,23,29,29,4.5,3,-150,2,"1114",6
200708,1114,705,"V","Utah",18,21,25,28,28,203,204,-110,104.5,"1114",29
200708,1114,706,"H","Toronto",22,14,23,29,29,1,,-110,,"1114",28
200708,1114,707,"V","Charlotte",22,26,26,35,35,187.5,188,200,1.5,"1114",4
200708,1114,708,"H","Atlanta",37,26,18,36,36,5,5.5,-240,93.5,"1114",1
200708,1114,709,"V","Seattle",30,31,19,24,24,193.5,191.5,240,92.5,"1114",21
200708,1114,710,"H","Miami",25,16,27,27,27,6,7,-290,7,"1114",16
200708,1114,711,"V","NewJersey",23,11,20,15,15,184.5,181,525,93.5,"1114",18
200708,1114,712,"H","Boston",17,19,26,29,29,9.5,10,-650,6,"1114",2
200708,1114,713,"V","Sacramento",21,27,21,34,34,194,190.5,110,96,"1114",26
200708,1114,714,"H","Minnesota",21,24,26,37,37,3,2,-130,1.5,"1114",18
200708,1114,715,"V","Memphis",18,23,30,28,28,205,206.5,220,101,"1114",15
200708,1114,716,"H","Milwaukee",22,25,31,24,24,6,6.5,-260,2,"1114",17
200708,1114,717,"V","Philadelphia",20,23,22,11,11,187.5,187.5,370,93,"1114",23
200708,1114,718,"H","NewOrleans",26,17,30,22,22,8.5,8.5,-450,5.5,"1114",19
200708,1114,719,"V","Portland",20,18,23,32,32,211.5,212,550,105,"1114",25
200708,1114,720,"H","Denver",25,27,26,32,32,10,11,-700,2.5,"1114",8
200708,1114,721,"V","LALakers",25,36,14,18,18,199,199.5,240,100.5,"1114",14
200708,1114,722,"H","Houston",22,27,22,19,19,7.5,6.5,-290,6,"1114",11
200708,1114,723,"V","NewYork",17,27,9,28,28,200,200.5,275,99,"1114",20
200708,1114,724,"H","LAClippers",18,23,22,21,21,7,7.5,-325,5.5,"1114",13
200708,1114,725,"V","Detroit",25,26,31,29,29,3,1,-120,3.5,"1114",9
200708,1114,726,"H","GoldenState",40,24,21,19,19,207,211,100,100.5,"1114",10
200708,1115,501,"V","SanAntonio",18,22,30,22,22,186.5,189.5,105,5,"1115",27
200708,1115,502,"H","Dallas",33,26,21,25,25,3,1.5,-125,94,"1115",7
200708,1115,503,"V","Chicago",22,24,29,27,27,203,204,355,102,"1115",5
200708,1115,504,"H","Phoenix",26,30,19,37,37,7.5,8.5,-425,1.5,"1115",24
200708,1116,701,"V","Portland",21,24,28,15,15,186,184,130,93,"1116",25
200708,1116,702,"H","Philadelphia",14,13,29,36,36,3,3,-150,5,"1116",23
200708,1116,703,"V","Indiana",30,26,18,27,27,193.5,195.5,285,98.5,"1116",12
200708,1116,704,"H","Toronto",22,31,28,29,29,8.5,7.5,-335,5.5,"1116",28
200708,1116,705,"V","Miami",24,22,19,26,26,184,183,525,93,"1116",16
200708,1116,706,"H","Boston",24,28,24,16,16,10.5,10,-650,4.5,"1116",2
200708,1116,707,"V","Orlando",25,20,24,26,26,3.5,3.5,-170,94,"1116",22
200708,1116,708,"H","NewJersey",10,22,27,11,11,184,186,150,2,"1116",18
200708,1116,709,"V","Utah",24,19,31,20,20,2,199.5,105,103,"1116",29
200708,1116,710,"H","Cleveland",19,20,29,31,31,203,1.5,-125,1,"1116",6
200708,1116,711,"V","Seattle",26,32,26,23,23,206,204.5,235,100.5,"1116",21
200708,1116,712,"H","Atlanta",23,22,37,25,25,7.5,6,-275,5.5,"1116",1
200708,1116,713,"V","Houston",24,22,18,20,20,181,177.5,400,90,"1116",11
200708,1116,714,"H","SanAntonio",25,24,20,21,21,8.5,9,-500,5,"1116",27
200708,1116,715,"V","NewOrleans",32,30,19,33,33,3.5,3,-160,,"1116",19
200708,1116,716,"H","Memphis",20,38,26,30,30,202,204.5,140,99.5,"1116",15
200708,1116,717,"V","Washington",32,15,24,34,34,2.5,3.5,-170,5,"1116",30
200708,1116,718,"H","Minnesota",24,27,23,15,15,194.5,191.5,150,99.5,"1116",18
200708,1116,719,"V","NewYork",31,16,26,24,24,199,198.5,150,1,"1116",20
200708,1116,720,"H","Sacramento",28,29,25,15,15,3,3.5,-170,98.5,"1116",26
200708,1116,721,"V","Detroit",20,26,22,23,23,201,198.5,155,98,"1116",9
200708,1116,722,"H","LALakers",29,19,14,41,41,3.5,4,-175,2,"1116",14
200708,1116,723,"V","LAClippers",26,29,32,18,18,216,219.5,210,,"1116",13
200708,1116,724,"H","GoldenState",34,30,32,26,26,3.5,5.5,-250,106,"1116",10
200708,1117,501,"V","Portland",15,23,25,27,27,195,190,175,1,"1117",25
200708,1117,502,"H","Washington",22,25,30,32,32,5.5,4.5,-205,97.5,"1117",30
200708,1117,503,"V","Seattle",22,27,21,14,14,196.5,199.5,300,99,"1117",21
200708,1117,504,"H","Charlotte",22,25,30,23,23,7.5,8,-360,6,"1117",4
200708,1117,505,"V","Utah",17,29,26,25,25,6,5,-230,6,"1117",29
200708,1117,506,"H","Indiana",31,34,30,22,22,203,204.5,190,107,"1117",12
200708,1117,507,"V","Miami",18,27,18,28,28,180,3,-155,88,"1117",16
200708,1117,508,"H","NewJersey",23,12,26,26,26,2,174,135,1.5,"1117",18
200708,1117,509,"V","NewOrleans",25,17,32,26,26,5.5,4,-190,2,"1117",19
200708,1117,510,"H","Minnesota",21,19,21,21,21,190,188,160,91,"1117",18
200708,1117,511,"V","Atlanta",24,22,24,26,26,198.5,196.5,285,98.5,"1117",1
200708,1117,512,"H","Milwaukee",23,34,19,29,29,8,7.5,-335,1,"1117",17
200708,1117,513,"V","Memphis",29,24,25,27,27,210,213,950,105,"1117",15
200708,1117,514,"H","Dallas",27,27,28,26,26,12.5,14,-1500,9,"1117",7
200708,1117,515,"V","Phoenix",37,32,25,21,21,4.5,5.5,-250,98,"1117",24
200708,1117,516,"H","Houston",30,27,19,29,29,198,196,210,1.5,"1117",11
200708,1117,517,"V","NewYork",22,18,16,27,27,216,213.5,850,102.5,"1117",20
200708,1117,518,"H","Denver",30,28,26,31,31,12.5,14,-1300,3,"1117",8
200708,1117,519,"V","Chicago",29,22,19,22,22,1.5,3,-160,92.5,"1117",5
200708,1117,520,"H","LAClippers",16,24,19,14,14,191,187,140,1.5,"1117",13
200708,1118,701,"V","GoldenState",32,26,22,26,26,217.5,219.5,220,109,"1118",10
200708,1118,702,"H","Toronto",29,32,27,12,12,5,6.5,-260,3.5,"1118",28
200708,1118,703,"V","Boston",17,24,35,26,26,189,1,-120,5.5,"1118",2
200708,1118,704,"H","Orlando",28,30,25,21,21,,187.5,100,94.5,"1118",22
200708,1118,705,"V","Detroit",31,27,14,23,23,5,4.5,-205,1,"1118",9
200708,1118,706,"H","Sacramento",22,30,23,30,30,193,195.5,175,97,"1118",26
200708,1118,707,"V","Chicago",21,25,14,18,18,195.5,198,190,100.5,"1118",5
200708,1118,708,"H","LALakers",16,29,30,31,31,4.5,5.5,-230,4,"1118",14
200708,1119,501,"V","Portland",23,13,25,31,31,187,190.5,190,97.5,"1119",25
200708,1119,502,"H","Charlotte",24,16,23,38,38,5,5.5,-230,2.5,"1119",4
200708,1119,503,"V","Seattle",24,29,24,31,31,218,218.5,195,2,"1119",21
200708,1119,504,"H","Memphis",38,30,34,23,23,6,5.5,-235,105.5,"1119",15
200708,1119,505,"V","Orlando",33,20,17,25,25,188,186,100,92.5,"1119",22
200708,1119,506,"H","NewOrleans",17,26,25,20,20,,1,-120,3,"1119",19
200708,1119,507,"V","NewJersey",17,24,17,17,17,190.5,191,550,99,"1119",18
200708,1119,508,"H","Utah",30,21,32,19,19,11,11,-700,3.5,"1119",29
200708,1120,701,"V","Philadelphia",24,20,24,33,33,191,183.5,190,3,"1120",23
200708,1120,702,"H","Washington",26,34,38,18,18,6,5,-230,93.5,"1120",30
200708,1120,703,"V","Milwaukee",21,28,35,27,27,194.5,193.5,240,97,"1120",17
200708,1120,704,"H","Cleveland",31,22,27,27,27,6.5,6.5,-290,3,"1120",6
200708,1120,705,"V","LALakers",37,34,33,30,30,2,1.5,-125,102.5,"1120",14
200708,1120,706,"H","Indiana",35,28,27,24,24,207,207.5,105,1.5,"1120",12
200708,1120,707,"V","SanAntonio",29,32,22,12,12,5.5,6,-250,94.5,"1120",27
200708,1120,708,"H","Atlanta",20,24,21,18,18,190.5,190,210,2,"1120",1
200708,1120,709,"V","GoldenState",31,29,17,31,31,219,1,-120,104.5,"1120",10
200708,1120,710,"H","NewYork",24,23,15,20,20,,220,100,3,"1120",20
200708,1120,711,"V","Toronto",31,24,17,27,27,196.5,197,355,97.5,"1120",28
200708,1120,712,"H","Dallas",19,22,38,26,26,9.5,8.5,-425,9,"1120",7
200708,1120,713,"V","Chicago",25,28,16,22,22,203.5,201.5,370,2,"1120",5
200708,1120,714,"H","Denver",36,36,22,18,18,6,8.5,-450,101,"1120",8
200708,1120,715,"V","Phoenix",27,28,31,14,14,6.5,7.5,-330,2,"1120",24
200708,1120,716,"H","Sacramento",26,21,27,24,24,212,218,280,106,"1120",26
200708,1121,501,"V","Washington",26,18,35,25,25,192,192.5,250,99.5,"1121",30
200708,1121,502,"H","Charlotte",20,26,32,26,26,4.5,7,-300,4,"1121",4
200708,1121,503,"V","GoldenState",16,21,27,18,18,214,214,620,103,"1121",10
200708,1121,504,"H","Boston",25,25,31,24,24,9,11,-820,2,"1121",2
200708,1121,505,"V","Dallas",25,22,15,38,38,193.5,190,120,95,"1121",7
200708,1121,506,"H","Houston",30,16,28,20,20,1.5,2.5,-140,2,"1121",11
